Source,Target,Text
Cloud Retainer,Shenhe,"One has traversed many realms and taken a great many pupils. Among them, Shenhe bears the closest resemblance to oneself. Were she not a mortal, one would like to have her stay by my side."
Kaedehara Kazuha,Gorou,"Kindness and loyalty are the representation of virtue. Without a doubt, my friend Gorou is a virtuous general."
Kuki Shinobu,Arataki Itto,"Hello, I'm Kuki Shinobu, deputy of the Arataki Gang. I handle the affairs of the gang. If you come across any inappropriate behavior on the part of our boss, Arataki Itto, please contact me immediately. Here is my business card."
Taroumaru,Thoma,"Thoma is very good at taking care of people and is a very good friend. But you can't just take care of others, you have to take care of yourself too..."
Aloy,Aloy,"Everything I do is in the service of life, not death. That's why I'm here with you."
Sangonomiya Kokomi,Kujou Sara,"I must admit, Kujou Sara is an opponent that cannot be taken lightly. Although we have opposing views, her loyalty and sincerity is truly admirable... I believe that in the entire city of Inazuma, she is the one with the most adoration for the Shogun."
Kitsune Saiguu,Raiden Shogun,"Her Excellency seeks to rid herself of the mundane delusions of the world, but only in an attempt to overcome the cycle of life and death. No one truly understands her, yet she does not deign to make herself understood... Her Excellency the Shogun is simply full of contradictions."
Gorou,Sangonomiya Kokomi,"Her Excellency, Sangonomiya, is an astute strategist. She can accurately predict enemy movements from thousands of miles of way. When we fought against the Shogun's army, what we lacked in manpower and weaponry, we more than made up for with Her Excellency's tactical prowess. Were it not for Her Excellency, not a single one of Watatsumi Island's victories would have been possible."
Kamisato Ayato,Sayu,"Are you in a hurry to find Sayu? Oh, I see, she is usually hiding in the trees in the afternoons. I have my own ways of finding her, so please let me know if you need help... Oh, but if I interfere, then I will deny you the pleasure of finishing this task on your own, won't I?"
An ordinary businessman from Hanamizaka,Kamisato Ayaka,"Though Miss Ayaka is the eldest daughter of the Kamisato Clan, she is very attentive to everyone's needs. She will personally take care of the most troublesome matters. If I hadn't seen it with my own eyes, I wouldn't believe that there are noble ladies like her!"
Kaedehara Kazuha,Kaedehara Kazuha,"If one's heart is empty, all under heaven is empty. But if one's heart is pure, all under heaven is pure."
Kamisato Ayaka,Yoimiya,"Fireworks are the highlight of the festival, and Yoimiya is Inazuma's best pyrotechnician. Every display she planned turns out fabulously. Ah, right, do not worry about the fire hazards. The Yashiro Commission and shrine maidens will take care of the necessary precautions so that she can fully express her creativity."
Jean,Eula,"The Knights of Favonius values one's abilities and deeds more than their background and lineage. Eula is indeed an outstanding knight, and there is no need to hold her identity as a descendant of the ancient nobles against her."
Ningguang,Yanfei,"I have had many dealings with Yanfei in legal affairs, and I must give her credit for helping me uncover quite a number of flaws in our system."
Barbara,Rosaria,"Where did Rosaria go off to this time...? Oh, has anyone seen her? There's choir practice today. Deacon Dahlia told me I must ask her to come!"
Zhongli,Hu Tao,"It would be best not underestimate someone as whimsical as her. However, should you enjoy surprises, then I believe a visit is in order."
Madame Ping,Xiao,"By honoring his oath as a yaksha, one hopes that our fellow adeptus has now finally gained some respite from the grievances that have burdened him all these millennia."
Uncle Tian,Ganyu,"It is said that the qilin carry an auspicious grace, yet who knows of the loneliness of a benevolent being among the sea of people?"
Klee,Albedo,"Albedo is so smart and gentle. He's super nice to me too! He always plays with the weirdest things, so I love following him around~!"
Raiden Shogun,Zhongli,"In his long life, he has met countless people, and shall meet countless more still. As they say: waters change course, but mountains move not."
Wrench Wang,Xinyan,"She's on fire!"
Elzer,Diona,"I've been bitten by a cat!"
Tonia,Tartaglia,"He cooks, he cleans... He's the bestest big brother ever!"
Kaeya,Klee,"If the hills burn, Klee will be done for!"
Cecelia flowers,Venti,"The true feelings of the prodigal son."
Eider,Amber,"This Gliding Championship Cup is awarded to Amber in honor of her three consecutive wins. May her ardency always fly with the wind."
Barbara's Fans,Barbara,"I just want to see Barbara to make my day a bit brighter!"
Head of the Feiyun Commerce Guild,Beidou,"In all of Liyue Harbor, only Beidou dares to bet against Ningguang."
Herman,Bennett,"So long as you do the exact opposite of whatever Bennett does, your whole adventure will go over smoothly."
Xingqiu,Chongyun,"Want to see a different side of Chongyun? Find a way to get him into a hot spring, and you'll see!"
José,Diluc,"Mr. Diluc is like a fine wine but with too much ice. The first sip tastes heavenly, but drink too much and it gives you brain freeze."
Ellino,Kaeya,"Quartermaster Kaeya is quite approachable, as least compared to his predecessor. He seems to know about everything happening in Mondstadt."
Keqing,Zhongli,"Rex Lapis has watched over Liyue for a millennium. But what about the next millennium?"
Ziwei,Mona,"Astrologist Mona Megistus's essays are truly fascinating. Not that I really get it, but it's super interesting nonetheless."
Kaiyang,Ningguang,"The biggest secret in Liyue, is not a secret in of itself, but Ningguang, who herself knows all the secrets of Liyue."
Kaeya,Noelle,"Jean's job is definitely the most stressful. But Noelle's is by far the busiest."
Chongyun,Xingqiu,"Don't be fooled by his air and graces... He's a prankster to the core!"
