,Source,Target,Text,Label,Score,Sentiment
13,Alhaitham,Dehya,"
It's a waste for such a capable person to remain among  the Eremites  . If only she'd consider my suggestion to join the Akademiya... Our work would become a lot easier with someone like her around, but a predictable life isn't exactly her cup of tea — I can understand that. *sigh* What a pity.",NEGATIVE,0.9993817806243896,-0.9987635612487793
14,Alhaitham,Dori,"
She's sharp and always keeps an eye out for herself. She knows how to take life by the reins and make her dreams a reality. I'm not condoning her actions, but just because we stand on different sides doesn't mean that I can't appreciate her attitude towards life.",POSITIVE,0.9991540908813477,0.9983081817626953
15,Alhaitham,Kaveh,"Mainstream Sumeru academia tends to hide a certain fact from time to time, which is that for some people, talent can occasionally be more of a burden instead. Nevertheless, this view can also be but an excuse. In truth, it is your character that determines your destiny first and foremost. The aforementioned ideas are the sort that Kaveh will persistently rebut.

Kaveh tends to be overly sensitive about everyone and everything he crosses paths with, and he's constantly making a fuss about nothing. Maybe it's because he's too emotionally fragile...

Someone set up a stand on the street saying that for each handmade keychain they sold, a child in poverty would be given a meal. Kaveh bought at least a dozen.  ...This is Sumeru, where even healthcare is free. I needn't say more.",NEGATIVE,0.9929038882255554,-0.9858077764511108
16,Alhaitham,Nahida,"
One should neither dismiss nor overly revere the divine. Gods require followers, and they are also part of a biological hierarchy. That's why I don't take any pride in the fact that I helped rescue a god. I hope Lesser Lord Kusanali doesn't take offense.",NEGATIVE,0.9372153878211975,-0.874430775642395
17,Alhaitham,Nilou,"
The strengths and weaknesses of a performing artist are quite clear. Nilou knows how to play to her strengths, which enables her to live a happy and simple life.",POSITIVE,0.9998714923858643,0.9997429847717285
18,Alhaitham,Tighnari,"
Apparently, a lot of people think he has a bad temperament, but I don't think they're giving him a fair chance. When Kaveh built a house right over a Withering Zone and created a huge mess, it ended up being a real headache for the  Forest Rangers  . Even so, this Forest Ranger didn't hold it against Kaveh. He even invited Kaveh to his house for a meal. Hmm, maybe it's good people like him who allow people like Kaveh to survive.",NEGATIVE,0.9974915981292725,-0.9949831962585449
19,Alhaitham,Traveler,"I'm Alhaitham, the  Akademiya  's scribe. If you wish to access an archived file, please submit an application according to the prescribed format.  Oh, your form isn't ready? Not to worry. You can come again on the next working day. My work hours are posted outside the office.

Don't be offended if you try to greet me on the street and I don't respond. It's simply because I'm wearing my soundproof earpieces, that's all.

It seems you're perfectly capable of taking care of yourself, so much so that you even look after that little companion of yours. I don't have any suggestions to offer you, and frankly, you probably don't need my help.",POSITIVE,0.9796604514122009,0.9593209028244019
20,Aloy,Aloy,"Everything I do is in the service of life, not death. That's why I'm here with you.

I grew up an outcast, and it wasn't much fun. Even though I'm a stranger here, people are friendlier than the tribe that was supposed to raise me. It's... nice.

I'm not much for talking about myself. The mission is what's important.

I never had parents. But a man named Rost raised me. He was stern, but kind and generous. And he trained me well. I miss him.

I spent my whole life looking for my mother and never found her, not really. But I found ancient messages from the woman I was... cloned from. It felt like she knew me. And how to inspire me.

When I grew up, I didn't have any friends. Later in my travels, I made some. But I left that world before we could grow close. That's why I'm glad to have spent time with you.

Trust doesn't come easy for me, but I know I can trust you. You're a true friend, and I don't say that often.",POSITIVE,0.9981245398521423,0.9962490797042847
21,Aloy,Traveler,"Aloy here. I don't know this world, but my arrows are sharp and my bow's ready. If your party needs help, I'll do what I can.

Everything I do is in the service of life, not death. That's why I'm here with you.

An oath seems like a formality. But if you want mine, you've got it.

I'll do whatever it takes to finish this with you. I won't hesitate. I won't falter.",POSITIVE,0.9990057349205017,0.9980114698410034
22,Amber,Albedo,"
Albedo spends most of his time in his workshop, tinkering away with all of his awesome stuff. But, when you see him in person, you can never quite tell what he is thinking, not a clue at all.",NEGATIVE,0.866359293460846,-0.7327185869216919
23,Amber,Amber,"
Mondstadt Gliding Champion, yep, that's me! Gliding Champion!

I'm a pro at hunting, you know! How about I show you some of my skills? Or even better... how about a little competition?

I'll share my ultimate Gliding Champion secret with you! The most important thing to remember, is to have courage!

I'm really not that good with riddles. I always try to avoid the riddles stand during  Ludi Harpastum  ... What about you?

I joined the Knights because of my grandpa, I stayed because of Jean. And now, you're the one that showed me the world beyond Mondstadt. I couldn't be happier.

I would like to explore the other worlds beyond. I wanna see how deep the rabbit hole goes! You'll keep me company right, right?",POSITIVE,0.9830622673034668,0.9661245346069336
24,Amber,Bennett,"
Hmm? Bennett... I feel like I've heard that name before... Oh! Yes, he's that hot-blooded guy from the Adventurers' Guild, right! I tend to come across him way out in the wild from time to time, he seems to really love treasure hunting.",POSITIVE,0.9919737577438354,0.9839475154876709
25,Amber,Collei,"Oh, you're going to Sumeru? Can you give my regards to Collei? Well... it's been so long, I wonder if her hair has grown out and if she's taller?

Collei wrote to me saying that her Eleazar has been completely cured... I'm so happy for her! I wish I could fly to her side right now and give her the biggest hug! She also said she misses everyone in Mondstadt, and that once she's ready, she'll come visit us in person and tell us all about her progress... Oh, it would be great if she could make it in time for the next Ludi Harpastum. Aaah I can't wait to see her again!",POSITIVE,0.9990554451942444,0.9981108903884888
26,Amber,Eula,"
Eula is a great friend of mine! You just need to get used to her sense of humor and you'll get along fine! The only reason she's misunderstood by so many people is her family name. How can I get them to see her for who she really is?",POSITIVE,0.9993177652359009,0.9986355304718018
27,Amber,Jean,"
After the  Grand Master  left on his expedition, all the affairs of the Knights of Favonius, both big and small, have been left up to Jean. If only there was more I could do to help her...

Jean might still be working? We should invite her for coffee... Let's go.",NEGATIVE,0.9969066977500916,-0.9938133955001831
28,Amber,Kaeya,"
...I'm feeling uneasy all of a sudden! Was that Kaeya with you earlier? Did he give you any trouble?

There's something weird-looking about the dandelions in the garden... Hmm, I bet Kaeya had something to do with this!",NEGATIVE,0.9810842871665955,-0.9621685743331909
29,Amber,Klee,"
Klee? She can be a bit cheeky sometimes, but everyone in the Knights of Favonius likes her. Although... I really ought to keep a closer eye on her if I wanna keep her from getting put in confinement by Jean again.",POSITIVE,0.9982631802558899,0.9965263605117798
30,Amber,Lisa,"
When you have time, we should go see Lisa! Last time I saw her, she was telling me about a story involving a treasure in the  Dragonspine  area. But, we got cut off before she could finish. I can't wait to hear the rest of her story!

If Lisa's not sleeping, she'll be reading! I don't know how she does it, I wouldn't be able to sit still for that long.",NEGATIVE,0.6016963720321655,-0.20339274406433105
31,Amber,Mika,"
Oh! Mika's a veteran of Eula's team. When he first arrived, it was always ""Yes, Commander!"" every time he spoke to me — I guess it must have been because he saw how close I was with Eula. But then, even after I told him I was actually an Outrider, he still called me ""Ma'am""... It was so embarrassing. We have completely different responsibilities, after all. I definitely could never match his expertise in cartography.",NEGATIVE,0.9157845973968506,-0.8315691947937012
32,Amber,Noelle,"
You wanna know about Noelle? She's super resilient. Still, since she's younger than us, we should look out for her.",POSITIVE,0.9975041747093201,0.9950083494186401
33,Amber,Traveler,"Outrider Amber reporting for duty! Just say the word if you ever need my help!

Remember that I don't go easy on anyone, even you!

When I'm teaching you to glide, I feel like I can go even faster than usual... Huh? What are you laughing at? I'll prove it! We can race — right now!",POSITIVE,0.9995476603507996,0.9990953207015991
34,An ordinary businessman from Hanamizaka,Kamisato Ayaka,"Though Miss Ayaka is the eldest daughter of the Kamisato Clan, she is very attentive to everyone's needs. She will personally take care of the most troublesome matters. If I hadn't seen it with my own eyes, I wouldn't believe that there are noble ladies like her!",POSITIVE,0.998778760433197,0.997557520866394
35,Arataki Itto,Arataki Itto,"
Oh, so they're saying I can't hold down a real job, huh? Well! Hahaha! Sorry to break it to ya, but I'm a delinquent. That means it's my job to not have a real job, and if anyone's got a problem with that... Who's got a problem with that, huh? You got a problem with that!? You got a problem with— *coughing* Sorry. Got a little worked up there. Where was I? Ah yeah, so work isn't really my thing, but don't worry — I don't rob or steal or anything like that. When I'm really runnin' low on funds, I just take the odd job here and there to make ends meet. You know, like transporting stuff, delivering documents, helping businesses attract customers... Just enough to keep the wolf from the door. Hehe!

The oni have been through a lot to get to where we are today, and look at us now — living peacefully alongside the humans. Unfortunately, there's still plenty of people out there who've got a bone to pick with us. Hmm? Change? Oh yeah, things are gonna change, alright! You can count on that! But I'll tell you what, it won't involve any sucking up to the humans on my part, nuh-uh! I'm gonna let my actions do the talkin'. They'll come to respect me eventually.

I know what you're thinking: ""I don't see it — how did this guy get to become the boss of the Arataki Gang on the back of beetle fighting and trading card games?"" Well, you're right, those are just child's play. Wanna know the hard skills that really got me where I am? Eating ramen standing upside down, sleeping with my eyes open, playing the harmonica with my nose, and swatting houseflies with my hair. Yeah, I know. Betcha see it now, huh?

People in Inazuma have this ritual every time there's a holiday, or they move, or get sick, or whatever, where they throw beans around and chant: ""Fortune beans are falling down, send the oni out of town. Fortune in, oni out. Fortune in, oni out!"" ...Ugh, the chant gets worse every time I hear it, but the streets full of beans, with my allergies? Total disaster. I've gotta fix this, for every oni out there! We're innocent, people! Quit trying to ward us off and drive us out every time there's a minor life event!

In a... ""attempt""... to end human prejudice toward the oni, I had the gang use a Kamera to take a picture of me showing my softer side and stick it to the Message Board in Inazuma City. Next thing we know, some jerks have graffitied all over it! Tsk! Then, some ashigaru blockheads from the Tenryou Commission accused me of disrupting the peace, next it was the Yashiro Commission, complaining it ruined the atmosphere in the area, and finally, even the Kanjou Commission got involved — they sent some lackeys over demanding advertising tax! Ugh, they have no idea who the bad guys are here!

In the Arataki Gang, we're proud to welcome people who've experienced adversity in their lives. Don't listen to the people who call us freaks, or weirdos. Every member of my gang is like family to me, and they all feel the same way. Whatever happens, the gang will face it together — both the highs and the lows.

I gotta respect the Blue Oni for sacrificing themselves so that the Crimson Oni could live on... In principle, though, I'm absolutely against it. No one should have to sacrifice their own kind for the sake of a better tomorrow, period. It's only a better tomorrow if it's a better tomorrow for everyone. We need to work together, not have everyone just focused on themselves, making their own sacrifice, trying to look cool in the process... Eh, I guess there's no changing the past, what's done is done. But from this day forward, no more sacrificing, not on my watch! You go to sacrifice yourself, I'll stand right in your way!",NEGATIVE,0.9930885434150696,-0.9861770868301392
36,Arataki Itto,Gorou,"
y general in the resistance... Hey, I've gotta hand it to him, he may be on the small side, but he's got quite the fighting spirit. Also, he gives off this vibe that makes me feel all warm and fuzzy inside, almost as if he understands my innermost feelings... I mean, I've barely met the guy, so that's kinda weird.",POSITIVE,0.9969347715377808,0.9938695430755615
37,Arataki Itto,Kaedehara Kazuha,"
Word on the street is that he blocked the Musou no Hitotachi after you escaped from Tenshukaku. Seriously? 'Cause I mean, that is awesome! Who knows how he pulled it off. Hey, now that I think about it, he's from a fallen clan, and I'm from a fallen clan... That kinda makes us equals, haha! Yeah, so next time someone attacks you, it's my turn to block the blade!",POSITIVE,0.9635437726974487,0.9270875453948975
38,Arataki Itto,Kamisato Ayato,"
Haha, I only wish I could have met Ayato sooner. He really taught me something. ""You can kindle the warrior spirit even in the weakest of bugs""... Yep, I really took that one to heart. If it weren't for those words of wisdom, I'm pretty sure I would have given up beetle fighting after losing for the 780th time... Yeah, I guess sometimes it takes a warrior to understand a warrior. When we're playing trading card games or battling beetles, we're always totally on the same wavelength.",POSITIVE,0.996577799320221,0.9931555986404419
39,Arataki Itto,Kujou Sara,"
You know what, yeah, she beat me during the Vision Hunt Decree. I'm not ashamed to admit it. When you lose, you admit defeat, and when you screw up, you take it on the chin, like a man! And anyway, let's not forget which one of us won't agree to a rematch — her, the tengu warrior! It's just a sumo street fight, I mean, what's she so afraid of? If she keeps snubbing me, I'm gonna have to stop calling her Kujou Tengu and start calling her Kujou Chicken! Heh, we'll see what she thinks of that.",POSITIVE,0.932885468006134,0.8657709360122681
40,Arataki Itto,Kuki Shinobu,"
Nobody questions my leadership in the gang, what I say goes — except when it comes to Shinobu. She's always challenging everything I say. And not only that — all the hard-earned loot I bring back and share with everyone? She goes and returns it! But also, she gets me out of jail, and out of every mess we get ourselves into, so I'll let it slide. Besides, I don't wanna get on her bad side... An angry Shinobu would make my life a nightmare.",POSITIVE,0.9451693892478943,0.8903387784957886
41,Arataki Itto,Raiden Shogun,"
During the Vision Hunt Decree, the Shogun had to send her top tengu in person to get my Vision off me. Heh, means she must have found me to be quite the pain in the neck. But, y'know, she's abolished the Vision Hunt Decree now, so no hard feelings, I guess. As long as she's learned her lesson, of course. 'Cause if she pulls something like that again, this old pain in the neck will be back with a vengeance.",NEGATIVE,0.9907640218734741,-0.9815280437469482
42,Arataki Itto,Sayu,"
All I did was give her a little pat on the head this one time when she wasn't looking, and now, she pounces to attack every time she lays eyes on me. Haha, what can I say? Tanuki are adorable! What am I supposed to do — not pat one on the head? ...Oh yeah, and that's the other thing — she beats you up for calling her a tanuki, too! What's up with that? I mean, a tanuki's what she's going for, right? Sheesh, talk about getting your fur all ruffled over nothing...",NEGATIVE,0.6427544355392456,-0.2855088710784912
43,Arataki Itto,Thoma,"
Some of the boys have been telling me that he was the star of the show at the Vision Hunt Ceremony. I'm like — are you kidding me??? How come he gets his own special ceremony!? Was the hundredth Vision supposed to be, like, stronger than the other ninety-nine, or something? Pff, nah, it can't have been that, 'cause, uh, hello! They would've chosen me if that's what they were going for.",NEGATIVE,0.9973785877227783,-0.9947571754455566
44,Arataki Itto,Traveler,"I'm the head honcho of the  Arataki Gang  , and everyone knows my name...s. Names, I have many. Arataki ""The One and Oni"" Itto, Arataki ""The Oni Sumo King"" Itto, Arataki ""The Pride of Oni"" Itto, Arataki ""Beetle Gladiator"" Itto, Arataki ""The Ultimate TCG Champion"" Itto, Arataki ""He Might Lose but He'll Never Admit Defeatto""... Anyway, these are some of the ones I usually go by, so go ahead, take your pick. I'll respond to whichever one you choose, I promise. Hehe, you're welcome.

Hey, so I always see you running around everywhere doing this and that for other people, but you're not in it for the Mora, are you? No, you're just straight-up lookin' out for your fellow man. I know a true homie when I see one, and no one appreciates a homies' homie more than yours truly. Put it here, partner! You and I are gonna make a great team, I just know it!

You know what, I gotta admit — I respect you, always have. I could really see you as a member of the gang, you know — I mean, you really have what it takes... Whaddya say? I've even come up with a catchy title to tag on after your name, get this: ""The Traveler, 'Second to One'""! Get it? 'Cause y'know, I'm numero uno, you're my number two, and together we're the most powerful duo in the whole friggin' world, baby! Hahaha! Ah... But, uh, all jokes aside, I know you're on some important journey or whatever. So, go ahead! Get out there and do whatcha wanna do! Just remember, the Arataki Gang will always answer your call.",POSITIVE,0.9966763257980347,0.9933526515960693
45,Arataki Itto,Yae Miko,"
I crushed that Kitsune Ramen eating contest we had. Even all that Fried Tofu couldn't stand in my way — she didn't come close to beating me! ... I was, uh, bedridden for more than a month after that, but you know what? I'd rather lie in bed a winner than walk away a loser! So... Anyway, I had the last laugh, 'cause she had to foot the bill for 32 bowls of noodles! Haha!",NEGATIVE,0.9939212799072266,-0.9878425598144531
46,Arataki Itto,Yoimiya,"
Hmph, she's always showing off her fancy fireworks and toys to the kids. Well, I'm sick of it! Nobody steals my thunder! I'm the one that's supposed to be adored by the kids! Me! That goes for you too, you're siding with me on this, okay... Huh? Whaddya mean, you're not a kid? Eh, details. If you're shorter than me, you're a kid as far as I'm concerned.",NEGATIVE,0.9903576970100403,-0.9807153940200806
47,Arlecchino,Freminet,You have two choices before you. You can either wallow in the past until you drown in its miseries... Or you can join hands with your 'family' and open your eyes again.,POSITIVE,0.7749530076980591,0.5499060153961182
48,Arlecchino,Lynette,"You needn't fret, nor should you feel like you have to change your own habits. But you should know that genuine understanding can only be found, not sought. A true companion is someone who can read your 'signals.'",POSITIVE,0.9993751645088196,0.9987503290176392
49,Arlecchino,Lyney,"In the end, a child must grow up, and they must surpass their parents. Only thus may a family flourish. When that day comes... I look forward to hearing what 'family' means to him.",POSITIVE,0.9993708729743958,0.9987417459487915
50,Baizhu,Baizhu,"
Yes, my master did entrust to me many medical formulas from the ancient era. However, although the ancient prescriptions were compiled by our ancestors and have stood the test of time, we mustn't also forget to look forward. Times have changed, and so have our surroundings and customs. Treatments that were effective in the bygone times may not prove to be as effective now. Clinging to the classic prescriptions of the past may not ultimately serve the best interest of the patients nowadays.

People who suffer from chronic illnesses are often mentally exhausted, and if their condition becomes critical, they may find themselves clinging to life with only a final, thin thread of hope. At such a moment, healing their body is not the priority; the doctor should focus on bolstering their faith in themselves. After all, if the patient believes they aren't going to make it and gives up on themselves, then no medical treatment will be able to help them, no matter how sophisticated the treatment may be.",NEGATIVE,0.9902101755142212,-0.9804203510284424
51,Baizhu,Ganyu,"
Those with the blood of the adepti have strong constitutions. Even when she is ill or injured, she does not require any medicine to recover. She isn't like your average mortal, who would be left with long-term residual issues if they did not receive medical treatment after a serious injury.",NEGATIVE,0.9913608431816101,-0.9827216863632202
52,Baizhu,Hu Tao,"
We have some differences in ideology, that's all. I don't harbor any ill-will toward Director Hu. If anything, I think she's more wary of me.

Baizhu:  If possible, I sincerely wish that Director Hu would be more sensible about her business practices.  Changsheng:  Oh, so you haven't forgotten about the time when she was disseminating flyers right outside of Bubu Pharmacy.  Baizhu:  *sigh* I just wish that she wouldn't be so concerned about Qiqi whenever she has nothing better to do.  Changsheng:  Sounds like you have something against her...  Baizhu:  It's not that I take issue with Director Hu... It's just that every time she kidnaps Qiqi, I have to go all the way to the  Ministry of Civil Affairs  to get someone to sort it all out. It's... quite exhausting.",NEGATIVE,0.9978418350219727,-0.9956836700439453
53,Baizhu,Keqing,"
If I were to hazard a guess about her health from a face reading, I would presume the Yuheng's frequent looks of exhaustion are due to her long-time habits of burning the midnight oil and never giving her mind a rest. If she wishes to maintain her health, she should stop working and relax from time to time. Unfortunately, she is overly ambitious, and seems to be completely willing to trade her health for her career. Even if I were to tell her this myself, I'm afraid she would not listen to me.",NEGATIVE,0.9938759207725525,-0.987751841545105
54,Baizhu,Qiqi,"
Yes, you've guessed correctly. The preservation of a thread of Qiqi's consciousness was in fact the work of the  adepti  . It's also thanks to Qiqi that I managed to come up with a way to save someone on the brink of death. Since the adepti took pity on this child and even used their arts to keep her on this side of existence, I thought I'd take the opportunity to keep her around the pharmacy. There's no harm in that, is there?",POSITIVE,0.9967756867408752,0.9935513734817505
55,Baizhu,Tighnari,"
Ah, so you have an acquaintance from the  Sumeru Akademiya  ? In that case, could I trouble you to introduce me to this Tighnari? I have many questions about herbal medicine that I would like to ask him.",POSITIVE,0.8353585004806519,0.6707170009613037
56,Baizhu,Traveler,"Hello. I am Baizhu, a practitioner of medicine at  Bubu Pharmacy  . So, are you experiencing any discomfort? If so, where? And how many days have the symptoms persisted? Hmm? You don't require medical attention? Oh, so you came to see me... Ah, then I'm sorry, I'm afraid I must ask you to wait. I'd like to see the other patients first before discussing things any further.

I tend to anyone who comes to Bubu Pharmacy seeking medical attention, regardless of their wealth or status. I treat everyone fairly, and I do my best to heal them. You are no exception, either.

A poison to one may be a boon to another. What may be considered to be a universally harmful substance to one group of people may prove to be the perfect medicine needed to save another room of patients. The mechanism behind this is easily understood by those well-versed in pharmacology. It's just that I can't ever tell my patients these kinds of details. If they were to find out that I gave them a poisonous substance as a prescription, it might scare them away for good.  Hehe, you're the first person who's never flinched at hearing this. You are the wise Traveler after all — I'm sure you've seen a lot on your adventures. So, ahem, I suppose you'll be fine with more... potent prescriptions in the future, then? I've been worried about finding people to test my medicine on, hehe.",POSITIVE,0.9033909440040588,0.8067818880081177
57,Baizhu,Xiao,"
Baizhu:  Only the most magnanimous soul could labor to preserve life by slaying evil spirits. I was once fortunate enough to see the Conqueror of Demons with my own eyes. We even brought him back to the pharmacy to take care of him for a day. Unfortunately, I did not know his true identity at the time, and didn't even have a chance to speak with him before he left on his own.  Changsheng:  But you've seen him since then, haven't you? There's no reason to be upset.  Baizhu:  Yes, you're right.",POSITIVE,0.9851288795471191,0.9702577590942383
58,Baizhu,Yaoyao,"
Every time she comes to play with Qiqi, she complains about the taste of medicine and asks me if I have anything that isn't bitter. If the medicine will save someone's life, who cares how bitter it tastes, hmm?",NEGATIVE,0.9906473755836487,-0.9812947511672974
59,Baizhu,Zhongli,"
Ah, Zhongli... Yes, I can tell he is very knowledgeable. He can carry a conversation even when discussing niche topics like ancient medicine. He must also have some habits and practices for himself when it comes to healthy living. The common headache or fever should pose no problem for him, so he doesn't need a prescription from me.",POSITIVE,0.9983764886856079,0.9967529773712158
60,Barbara,Amber,"
I've seen Amber rushing out of Mondstadt on a mission countless times. Being an Outrider doesn't look easy.",NEGATIVE,0.6116313934326172,-0.22326278686523438
61,Barbara,Barbara,"
""To the wind that guides me: When I'm exhausted, bless me with the strength to keep going forward. When I'm uncertain, bless me with the wisdom to distinguish good from evil. When I suffer from injustice, bless me with the courage to fight back..."" ...Oops, my apologies, I was just doing my prayers. *giggles* You need something?

Knights look so cool when they swing their sword in combat! Don't you think so? I tried using a sword before but... *sigh* Uh, let's just say I have zero talent with a sword.

I want to heal everyone. This simple thought was all the motivation I needed to become a Deaconess. As long as I'm able to help everyone, I'll be content.

Being an idol, I learned from  Alice  that ""A true idol should always try to heal the soul of the people..."" Yes, I completely agree.

I'm doing my best everyday... I hope my efforts earn the trust of the people of Mondstadt.

Every time I get on stage I always start to doubt myself — can I really heal every person in Mondstadt? But I look at you now, and I feel that as long as we keep marching forward, maybe one day I might just— Huh? I've already healed you? Well, one's not enough! I've already healed a lot of people? I suppose...",POSITIVE,0.9866966605186462,0.9733933210372925
62,Barbara,Bennett,"
Bennett always comes to the Cathedral covered in scrapes and bruises... Though it clearly never bothers him a bit, given the big grin he always has on his face. He really should take better care of himself.",NEGATIVE,0.9849356412887573,-0.9698712825775146
63,Barbara,Diluc,"
Oh, Master Diluc? Last time, when I was performing at  Angel's Share  , he kept frowning... Maybe he doesn't like my singing?",NEGATIVE,0.9985141158103943,-0.9970282316207886
64,Barbara,Jean,"
Acting Grand Master... Leader of the  Knights of Favonius  ... Everyone seems to like her a lot. Oh? Me? I... Of course I have nothing but admiration for her!",POSITIVE,0.9992483258247375,0.9984966516494751
65,Barbara,Lisa,"
I always take good care of Lisa. If she ever wants to become a star, she'll have my unconditional support, I'll cheer at the top of my lungs until my voice goes hoarse... Hmm, that might scare off her other fans though...",NEGATIVE,0.9740273356437683,-0.9480546712875366
66,Barbara,Noelle,"
Noelle is just the cutest! She's so kind and patient, you just feel totally relaxed when you're around her. ...Oh yeah, and she makes the tastiest snacks! Best part is, they're also healthy. Hehehe!",POSITIVE,0.9998472929000854,0.9996945858001709
67,Barbara,Rosaria,"Where did Rosaria go off to this time...? Oh, has anyone seen her? There's choir practice today. Deacon Dahlia told me I must ask her to come!

Sister Rosaria is hard to get to know, especially given she never joins in on prayers, but... Oh, I'm sure she believes in the  Anemo Archon  ! Although, I still don't really have the courage to try to talk to her...",NEGATIVE,0.9876325130462646,-0.9752650260925293
